               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.027434,             0.06348,                   0,              0.9057,              0.9058,             0.96049,             0.76598,            0.020005,            0.033912,                   0,          0.00087895,          0.00087895,            0.052179
                 122,            0.025757,            0.060776,                   0,             0.86751,             0.94896,             0.95624,             0.76619,             0.02183,            0.034555,                   0,          0.00086016,          0.00086016,             0.05176
                 123,            0.026023,             0.05483,                   0,              0.8874,             0.92029,             0.95774,             0.75048,             0.02187,            0.033954,                   0,          0.00084176,          0.00084176,            0.051342
                 124,            0.027229,            0.058469,                   0,             0.91238,             0.90547,             0.95869,             0.75589,            0.020178,            0.032104,                   0,          0.00082378,          0.00082378,            0.050924
                 125,            0.025218,            0.061388,                   0,             0.88648,              0.9058,               0.954,             0.67389,            0.027804,            0.034596,                   0,          0.00080625,          0.00080625,            0.050506
                 126,            0.036591,            0.056566,                   0,             0.87066,             0.92679,             0.95564,             0.67696,            0.023028,            0.032484,                   0,          0.00078921,          0.00078921,            0.050089
                 127,            0.028669,            0.059755,                   0,             0.87516,             0.92754,             0.95525,             0.74942,            0.020234,            0.032232,                   0,          0.00077267,          0.00077267,            0.049673
                 128,            0.025166,            0.064051,                   0,             0.83551,             0.92019,             0.94465,             0.72313,            0.025443,            0.034483,                   0,          0.00075669,          0.00075669,            0.049257
                 129,             0.03464,            0.057801,                   0,             0.87074,             0.92746,             0.95376,             0.68896,            0.019475,            0.033074,                   0,          0.00074128,          0.00074128,            0.048841
                 130,            0.029044,            0.053187,                   0,             0.86574,             0.93451,             0.95503,             0.71989,            0.018847,            0.032323,                   0,          0.00072647,          0.00072647,            0.048426
                 131,            0.023069,            0.057955,                   0,             0.89205,              0.9058,             0.95493,             0.74143,             0.01891,            0.032608,                   0,           0.0007123,           0.0007123,            0.048012
                 132,            0.031739,            0.060334,                   0,             0.71891,             0.84058,             0.86988,             0.60757,            0.028599,            0.035206,                   0,           0.0006988,           0.0006988,            0.047599
                 133,            0.031322,            0.059993,                   0,             0.93117,             0.88406,             0.95516,             0.74653,            0.019434,            0.032714,                   0,          0.00068599,          0.00068599,            0.047186
                 134,            0.024362,             0.06386,                   0,             0.85566,             0.88406,             0.92163,             0.72849,            0.023349,            0.034991,                   0,          0.00067392,          0.00067392,            0.046774
                 135,            0.033258,            0.057064,                   0,             0.67997,              0.8468,             0.84146,             0.58137,            0.025976,            0.035625,                   0,          0.00066259,          0.00066259,            0.046363
                 136,            0.032095,            0.059757,                   0,              0.9318,              0.8913,             0.95702,             0.77959,            0.020289,            0.033393,                   0,          0.00065206,          0.00065206,            0.045952
                 137,            0.024532,            0.060272,                   0,             0.86421,             0.87622,             0.94134,             0.63638,              0.0347,            0.036807,                   0,          0.00064234,          0.00064234,            0.045542
                 138,            0.042363,            0.065092,                   0,              0.8976,             0.82574,             0.93251,             0.63034,            0.024643,            0.033463,                   0,          0.00063346,          0.00063346,            0.045133
                 139,            0.030781,            0.062797,                   0,              0.8664,             0.94203,             0.95122,             0.67333,             0.01915,            0.031889,                   0,          0.00062546,          0.00062546,            0.044725
                 140,            0.023515,            0.056873,                   0,             0.85611,             0.94928,             0.95464,             0.70759,             0.02142,            0.032216,                   0,          0.00061836,          0.00061836,            0.044318
                 141,            0.028959,            0.061879,                   0,             0.93723,             0.88406,             0.95776,             0.74157,            0.018524,            0.031911,                   0,          0.00061219,          0.00061219,            0.043912
                 142,            0.026406,            0.057756,                   0,             0.93179,             0.89095,             0.95904,             0.79021,            0.016944,            0.031833,                   0,          0.00060698,          0.00060698,            0.043507
                 143,            0.022205,             0.05191,                   0,             0.93162,             0.89855,             0.95932,             0.77001,            0.018664,            0.032809,                   0,          0.00060276,          0.00060276,            0.043103
                 144,            0.026923,            0.058673,                   0,             0.91889,              0.9058,              0.9597,             0.71873,            0.020215,            0.033117,                   0,          0.00059955,          0.00059955,              0.0427
                 145,            0.025758,            0.051681,                   0,             0.91969,             0.91284,             0.96047,             0.77597,            0.016816,            0.031875,                   0,          0.00059737,          0.00059737,            0.042297
                 146,            0.023699,            0.053486,                   0,              0.9197,             0.91299,             0.95982,             0.69799,             0.02277,            0.032852,                   0,          0.00059626,          0.00059626,            0.041896
                 147,            0.032425,            0.057607,                   0,             0.91963,             0.91205,                0.96,             0.67501,            0.023906,            0.033527,                   0,          0.00059625,          0.00059625,            0.041496
                 148,            0.028665,            0.056754,                   0,             0.91279,             0.91304,             0.95905,             0.77018,            0.017261,            0.031531,                   0,          0.00059735,          0.00059735,            0.041097
                 149,            0.020523,            0.059395,                   0,             0.86657,             0.94127,             0.95712,              0.7883,            0.016351,            0.031327,                   0,          0.00059959,          0.00059959,              0.0407
